"EntityNumber","EntityContact","ContactType","Value"
"0214.211.236","ENT","TEL","050/31.98.50"
"0214.211.236","ENT","WEB","polderblankenberge.be"
"0422.464.395","ENT","EMAIL","edp.belgium@belgacom.net"
"0441.366.628","ENT","EMAIL","economat.thy@gmail.com"
"0441.366.628","ENT","EMAIL","thy.economat@betitudes.org"
"0446.354.705","ENT","EMAIL","info@bwcorp.be"
"0446.354.705","ENT","WEB","www.bwcorp.be"
"0447.600.659","ENT","EMAIL","info@gedelec.be"
"0447.600.659","ENT","EMAIL","info@cityhouse.be"
"0447.600.659","ENT","WEB","www.gedelec.be"
"0501.861.865","ENT","EMAIL","adlvielsalm@gmail.com"
"0634.573.604","ENT","TEL","056/252515"
"0659.820.229","ENT","EMAIL","claire@atoutcoeurs.be"
"0696.813.059","ENT","TEL","+32484818030"
"0696.813.059","ENT","EMAIL","victoriacvv1@gmail.com"
"0696.813.059","ENT","EMAIL","vicu.ciobanu@gmail.com"
"0700.352.668","ENT","EMAIL","C_schockert@yahoo.fr"
"0725.889.503","ENT","EMAIL","beunckens@hotmail.com"
"0727.460.804","ENT","TEL","0468231620"
"0727.460.804","ENT","EMAIL","demorbv@gmail.com"
"0727.460.804","ENT","EMAIL","kris@demor.be"
"0737.522.375","ENT","EMAIL","info@smarttrans.be"
"0737.522.375","ENT","EMAIL","info@smart-im.be"
"0738.446.647","ENT","TEL","+32499978199"
"0738.446.647","ENT","EMAIL","delcominette.philippe@gmail.com"
"0739.694.779","ENT","EMAIL","info@cgsecurity.be"
"0739.694.779","ENT","EMAIL","info@opmos.be"
"0739.694.779","ENT","WEB","www.opmos.be"
"0740.694.374","ENT","EMAIL","tommyeps@outlook.be"
"0740.694.374","ENT","WEB","www.ueps.be"
"0745.344.238","ENT","EMAIL","jonas@codeventurelabs.dev"
"0760.779.908","ENT","EMAIL","olsenaarke@gmail.com"
"0760.779.908","ENT","WEB","toneelolsenaarke.be/"
"0763.873.218","ENT","EMAIL","lars@vacro.be"
"0763.873.218","ENT","EMAIL","vacroinvest.bv@gmail.com"
"0764.971.494","ENT","EMAIL","j.d.renovation.g@gmail.com"
"0781.955.503","ENT","TEL","0492 35 33 13"
"0781.955.503","ENT","EMAIL","danpetcu13@gmail.com"
"0790.836.842","ENT","EMAIL","info@miiro.be"
"0793.373.688","ENT","EMAIL","info@9m2.be"
"0793.373.688","ENT","WEB","www.9m2.be"
"0797.793.722","ENT","TEL","+32476385961"
"0797.793.722","ENT","EMAIL","ergo2.0.bmelon@gmail.com"
"0805.918.659","ENT","EMAIL","mahlerstudentfestivalorchestra@gmail.com"
"0805.918.659","ENT","EMAIL","info@mahlerstudentfestivalorchestra.com"
"0805.918.659","ENT","WEB","mahlerstudentfestivalorchestra.com"
"0810.993.739","ENT","EMAIL","johan.vanroye@skynet.be"
"0810.993.739","ENT","EMAIL","johan@deregenboog.be"
"0826.576.491","ENT","EMAIL","bh@barbarahelft.com"
"0843.570.396","ENT","TEL","053 39 54 17"
"0843.570.396","ENT","EMAIL","advocaat@wendymichiels.be"
"0874.022.260","ENT","EMAIL","sofiegoor@telenet.be"
"0874.022.260","ENT","EMAIL","desnellespurters@gmail.com"
"1004.927.621","ENT","TEL","+393472718134"
"1004.927.621","ENT","EMAIL","marco.grecuccio01@gmail.com"
"1012.919.431","ENT","TEL","+32492029561"
"1012.919.431","ENT","EMAIL","claudia.piliego@icloud.com"
"1024.698.397","ENT","TEL","+32466268768"
"1024.698.397","ENT","EMAIL","jedsellami89@gmail.com"
"1030.435.750","ENT","TEL","0456761967"
"1030.435.750","ENT","EMAIL","naudts.lieven@gmail.com"
